id,place_id,nombre,direccion,lat,lon,rating,num_reviews,google_maps_url,tipos,query_origen,barrio
022,ChIJ7xrBaJqZP44R--xhhrF_t3E,La Tapería,"Passage Santa Cruz de Mompox, Cl. 27 Bis #6-51 local 1, Santa Fé, Bogotá, Cundinamarca, Colombia",4.614497,-74.0689202,4.5,1769.0,https://maps.google.com/?cid=8194158447464410363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"spanish_restaurant, bar, restaurant, food, point_of_interest, establishment",restaurante español Bogotá Colombia,Santa Fé
023,ChIJe_ddEKiaP44RogiWn4scGKY,Restaurante Italia Artesana,"Cl. 119b #6a-18, Usaquén, Bogotá, Cundinamarca, Colombia",4.6963596999999995,-74.03083930000001,4.4,1739.0,https://maps.google.com/?cid=11968347395740534946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, food, point_of_interest, establishment",cocina italiana Bogotá,Usaquén
024,ChIJac7rHwiQP44R7rdMw6o9ZRA,Tasca La Puerta de Alcalá,"Cl. 118 #5-13, Bogotá, Colombia",4.6942869,-74.0300652,4.7,1514.0,https://maps.google.com/?cid=1181418280884942830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"spanish_restaurant, tapas_restaurant, bar_and_grill, brewery, live_music_venue, bar, event_venue, manufacturer, restaurant, food_store, store, food, point_of_interest, service, establishment",restaurante español Bogotá Colombia,
025,ChIJjdbV92CaP44RtdVHqpBvzGg,San Giorgio Trattoria,"Cl. 81 #8-81, Chapinero, Bogotá, Cundinamarca, Colombia",4.6635913,-74.05150150000001,4.6,1467.0,https://maps.google.com/?cid=7551533342316287413&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,Chapinero
026,ChIJFVfv6ECaP44RdEuBdHvII7s,Emilia Grace,"Cl. 65 #4a-51, Bogotá, Colombia",4.6481027,-74.05768789999999,4.6,1461.0,https://maps.google.com/?cid=13484842141838560116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"restaurant, food, point_of_interest, establishment",restaurante griego Bogotá,
027,ChIJ2wrnXUGaP44RheUsY3qZGMo,M Cocina Árabe Bogotá,"Ak 7 #6739, Bogotá, Colombia",4.6512743,-74.0579715,4.7,1446.0,https://maps.google.com/?cid=14562558146031445381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"middle_eastern_restaurant, restaurant, food, point_of_interest, establishment",mediterranean food Bogotá,
028,ChIJr-PY4VGaP44RqKfBRt_AVLc,Taperia de la Plaza,"Cl. 66 #22 - 39, Barrios Unidos, Bogotá, Cundinamarca, Colombia",4.6565674,-74.0699727,4.6,1351.0,https://maps.google.com/?cid=13210395672181843880&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"tapas_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",restaurante español Bogotá Colombia,Barrios Unidos
029,ChIJFZYLoDGbP44Rt1QDUp1ciag,IL NONNO Trattoria de Barrio,"Dg. 81g #76 b 03, Engativá, Bogotá, Cundinamarca, Colombia",4.699938599999999,-74.0926296,4.6,1281.0,https://maps.google.com/?cid=12144339700936823991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, food, point_of_interest, establishment",trattoria Bogotá,Engativá
030,ChIJlQbiMouaP44RquLN7CqLqpw,CASA,"Kr 13 #85 - 24, Bogotá, Colombia",4.669334,-74.053411,4.6,1233.0,https://maps.google.com/?cid=11288988432435372714&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"restaurant, food, point_of_interest, establishment",restaurante español Bogotá Colombia,
031,ChIJA8ZosIqaP44RVIxgTapDubw,Gyros & Kebab,"Kr 13 #82-28, Bogotá, Colombia",4.667123999999999,-74.05476829999999,4.4,1223.0,https://maps.google.com/?cid=13598974948543597652&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"lebanese_restaurant, middle_eastern_restaurant, restaurant, food, point_of_interest, establishment",restaurante griego Bogotá,
